序号,学科门类,项目名称,项目名称分词,项目类别,申请人,学校名称,省份,地区,学校标签
1,马克思主义/思想政治教育,马克思恩格斯晚年文明思想研究,马克思恩格斯 晚年 文明 思想 研究,青年基金项目,卢孔亿,安徽财经大学,安徽,中部,普通院校
2,马克思主义/思想政治教育,数智时代主流意识形态认同的情感叙事研究,数智 时代 主流 意识 形态 认同 情感 叙事 研究,青年基金项目,程权杰,安徽工业大学,安徽,中部,普通院校
3,马克思主义/思想政治教育,鄂豫皖苏区不可移动革命文物资料整理与数字传承研究,鄂豫 苏区 不可 移动 革命 文物 资料 整理 数字 传承 研究,规划基金项目,洪涛,安徽建筑大学,安徽,中部,普通院校
4,马克思主义/思想政治教育,信息茧房视域下2世代大学生网络素养对创新能力的影响路径研究,信息 茧房 视域 世代 大学生 网络 素养 创新 能力 影响 路径 研究,规划基金项目,王昊禾,安徽建筑大学,安徽,中部,普通院校
5,马克思主义/思想政治教育,农业新质生产力赋能乡村文化振兴的机制与路径研究,农业 新质 生产力 赋能 乡村 文化 振兴 机制 路径 研究,青年基金项目,刘东,安徽师范大学,安徽,中部,普通院校
6,马克思主义/思想政治教育,中华优秀家风文化赋能基层治理的实现机制研究,中华 优秀 家风 文化 赋能 基层 治理 实现 机制 研究,青年基金项目,曾梦晴,安庆师范大学,安徽,中部,普通院校
7,马克思主义/思想政治教育,MEGA2视阈中的《资本论》第2卷关于“马克思恩格斯问题”的研究,MEGA 2视阈 资本论 第2 关于 马克思恩格斯 问题 研究,规划基金项目,王旭东,北京理工大学,北京,东部,双一流
8,马克思主义/思想政治教育,人工智能视域下高校思想政治教育的算法风险及其治理路径研究,人工 智能 视域 高校 思想 政治 教育 算法 风险 及其 治理 路径 研究,规划基金项目,靳晓熙,北京农学院,北京,东部,普通院校
9,马克思主义/思想政治教育,当代英美左翼学者全球化批判理论研究,当代 英美 左翼 学者 全球化 批判 理论 研究,青年基金项目,裴亚男,北京物资学院,北京,东部,普通院校
10,马克思主义/思想政治教育,高校思政课青年教师“三理贯通”能力提升研究,高校 思政 青年 教师 三理贯通 能力 提升 研究,青年基金项目,潘思雨,渤海大学,辽宁,东部,普通院校
11,马克思主义/思想政治教育,高校研究生导师职业道德失范的生成逻辑与治理策略研究,高校 研究生 导师 职业 道德 失范 生成 逻辑 治理 策略 研究,规划基金项目,宗彩娥,常州大学,江苏,东部,普通院校
12,马克思主义/思想政治教育,习近平法治思想标识性概念体系及理论贡献研究,习近 平法 思想 标识性 概念 体系 理论 贡献 研究,青年基金项目,张雷,常州大学,江苏,东部,普通院校
13,马克思主义/思想政治教育,全人类共同价值的国际传播与认同研究——基于多维语料库的实证分析,全人类 共同 价值 国际 传播 认同 研究 —— 基于 多维语 料库 实证 分析,规划基金项目,邓颜蕙,成都工业学院,四川,西部,普通院校
14,马克思主义/思想政治教育,新就业形态青年的思想引导和凝聚服务路径研究,就业 形态 青年 思想 引导 凝聚 服务 路径 研究,规划基金项目,邵雅利,福建江夏学院,福建,东部,普通院校
15,马克思主义/思想政治教育,党的自我革命制度规范体系的运行机理与质量优化路径研究,自我 革命 制度 规范 体系 运行 机理 质量 优化 路径 研究,青年基金项目,肖恒,福建师范大学,福建,东部,普通院校
16,马克思主义/思想政治教育,高校思想政治理论课“融入”成效提升研究,高校 思想 政治 理论课 融入 成效 提升 研究,规划基金项目,张忠,福建中医药大学,福建,东部,普通院校
17,马克思主义/思想政治教育,大学生网络圈群化风险防控研究,大学生 网络 圈群化 风险 防控 研究,自筹经费项目,何晶梁,广东白云学院,广东,东部,普通院校
18,马克思主义/思想政治教育,生命周期理论视域下大学生网络群体极化影响机制及引导路径研究,生命 周期 理论 视域 大学生 网络 群体 极化 影响 机制 引导 路径 研究,青年基金项目,林伟婷,广东技术师范大学,广东,东部,普通院校
19,马克思主义/思想政治教育,数智时代大学生劳动精神的新内涵及其培育研究,数智 时代 大学生 劳动 精神 内涵 及其 培育 研究,规划基金项目,郑晓纯,广东科学技术职业学院,广东,东部,普通院校
20,马克思主义/思想政治教育,《资本论》视角下的数据殖民及其规制研究,资本论 视角 数据 殖民 及其 规制 研究,青年基金项目,杜巧玲,广东医科大学,广东,东部,普通院校
21,马克思主义/思想政治教育,高校AI辅导员建设的风险识别与治理机制研究,高校 AI 辅导员 建设 风险 识别 治理 机制 研究,青年基金项目,胡艳芝,广州大学,广东,东部,普通院校
22,马克思主义/思想政治教育,生成式AI驱动意识形态安全治理的综合效果评价及优化路径研究,生成式 AI 驱动 意识 形态 安全 治理 综合 效果 评价 优化 路径 研究,青年基金项目,刘和健,广州大学,广东,东部,普通院校
23,马克思主义/思想政治教育,大学生数字化精神交往中的孤独感形成机理与干预路径研究,大学生 数字化 精神 交往 孤独感 形成 机理 干预 路径 研究,青年基金项目,林晓珊,广州大学,广东,东部,普通院校
24,马克思主义/思想政治教育,新质生产力视域下人的需要发展研究,新质 生产力 视域 下人 需要 发展 研究,青年基金项目,何香明,广州航海学院,广东,东部,普通院校
25,马克思主义/思想政治教育,数字媒介时代主流意识形态具象传播及认同研究,数字 媒介 时代 主流 意识 形态 具象 传播 认同 研究,青年基金项目,杨亚,桂林电子科技大学,广西,西部,普通院校
26,马克思主义/思想政治教育,命运共同体视域下我国新时代热点话语在东盟国家的网络传播研究,命运 共同体 视域 我国 新时代 热点 话语 东盟 国家 网络 传播 研究,规划基金项目,黄可钦,桂林电子科技大学,广西,西部,普通院校
27,马克思主义/思想政治教育,思想政治教育数字化转型及驱动机制研究,思想 政治 教育 数字化 转型 驱动 机制 研究,规划基金项目,姚利民,哈尔滨工业大学,黑龙江,中部,双一流
28,马克思主义/思想政治教育,“大思政”背景下AI赋能高校思想政治工作的机制研究与实践,思政 背景 I赋 高校 思想 政治 工作 机制 研究 实践,青年基金项目,刘凤,哈尔滨工业大学,黑龙江,中部,双一流
29,马克思主义/思想政治教育,生成式人工智能背景下大学生网上思想道德教育分众化、精准化的机理与路径研究,生成式 人工 智能 背景 大学生 网上 思想 道德 教育 分众化 精准化 机理 路径 研究,青年基金项目,殷越,海南大学,海南,东部,双一流
30,马克思主义/思想政治教育,习近平总书记海洋命运共同体理念的国际认同研究,习近平 总书记 海洋 命运 共同体 理念 国际 认同 研究,规划基金项目,王巍巍,海南师范大学,海南,东部,普通院校
31,马克思主义/思想政治教育,数智时代青年精神困境的生成机制与引导路径研究,数智 时代 青年 精神 困境 生成 机制 引导 路径 研究,规划基金项目,杨政,杭州师范大学,浙江,东部,普通院校
32,马克思主义/思想政治教育,AI大模型时代马克思劳动价值论的应对与发展研究,AI 大模型 时代 马克思 劳动 价值论 应对 发展 研究,规划基金项目,白太辉,河北农业大学,河北,东部,普通院校
33,马克思主义/思想政治教育,数字资本主义的生态批判研究,数字 资本主义 生态 批判 研究,规划基金项目,姚晓红,河北农业大学,河北,东部,普通院校
34,马克思主义/思想政治教育,当代西方左翼对资本主义数字劳动的批判研究,当代 西方 左翼 资本主义 数字 劳动 批判 研究,青年基金项目,郭晓晴,河南大学,河南,中部,双一流
35,马克思主义/思想政治教育,人类文明新形态视域下中国式现代化的文化涵养研究,人类 文明 形态 视域 中国式 现代化 文化 涵养 研究,青年基金项目,王昱清,河南工业大学,河南,中部,普通院校
36,马克思主义/思想政治教育,新民主主义革命时期青年国家意识培育的实践探索与基本经验研究,新民主主义革命 时期 青年 国家 意识 培育 实践 探索 基本 经验 研究,青年基金项目,赵丽星,河南科技大学,河南,中部,普通院校
37,马克思主义/思想政治教育,青年数字自我呈现异化的生成逻辑与纾解之道研究,青年 数字 自我 呈现 异化 生成 逻辑 纾解 研究,规划基金项目,张静,河南农业大学,河南,中部,普通院校
38,马克思主义/思想政治教育,智能关联视角下高校思想政治教育高质量发展路径研究,智能 关联 视角 高校 思想 政治 教育 质量 发展 路径 研究,青年基金项目,马淑欣,河南农业大学,河南,中部,普通院校
39,马克思主义/思想政治教育,新兴领域青年党建工作的载体机制与效能评估研究,新兴 领域 青年 党建 工作 载体 机制 效能 评估 研究,规划基金项目,刘颖,河南体育学院,河南,中部,普通院校
40,马克思主义/思想政治教育,人工智能时代高校主流意识形态安全风险及化解机制研究,人工 智能 时代 高校 主流 意识 形态 安全 风险 化解 机制 研究,规划基金项目,孙耀胜,湖北工业大学,湖北,中部,普通院校
41,马克思主义/思想政治教育,乡村文化振兴内生动力的理论逻辑与实践路径研究,乡村 文化 振兴 内生 动力 理论 逻辑 实践 路径 研究,规划基金项目,肖燕飞,湖北美术学院,湖北,中部,普通院校
42,马克思主义/思想政治教育,面向农民日常生活的文明乡风建设实践机制研究,面向 农民 日常 生活 文明 乡风 建设 实践 机制 研究,青年基金项目,罗倩倩,湖北文理学院,湖北,中部,普通院校
43,马克思主义/思想政治教育,生成式人工智能的意识形态风险及治理研究,生成式 人工 智能 意识 形态 风险 治理 研究,青年基金项目,徐瑞鸿,湖南大学,湖南,中部,双一流
44,马克思主义/思想政治教育,中国共产党破解“古今中西之争”的文明逻辑研究,中国 共产党 破解 古今 中西 文明 逻辑 研究,青年基金项目,张淑芬,湖南大学,湖南,中部,双一流
45,马克思主义/思想政治教育,新时代党的创新理论青年化阐释的叙事机制与育人路径研究,新时代 创新 理论 青年化 阐释 叙事 机制 育人 路径 研究,规划基金项目,朱新华,华北理工大学,河北,东部,普通院校
46,马克思主义/思想政治教育,思政小课堂与社会大课堂的融合机制和实现路径研究,思政 课堂 社会 课堂 融合 机制 实现 路径 研究,规划基金项目,张梅,华北水利水电大学,河南,中部,普通院校
47,马克思主义/思想政治教育,中央苏区时期马克思主义中国化话语建构研究,中央 苏区 时期 马克思主义 中国 化话语 建构 研究,规划基金项目,张昭国,华东交通大学,江西,中部,普通院校
48,马克思主义/思想政治教育,生成式人工智能对国家文化安全风险及防范机制研究,生成式 人工 智能 国家 文化 安全 风险 防范 机制 研究,青年基金项目,孔柠檬,华东交通大学,江西,中部,普通院校
